x	y
692094.7833	5990670.104
692094.7822	5990670.093
692066.8069	5990668.933
692065.5246	5990699.862
692056.755	5990699.499
692029.2543	5990698.359
692029.2526	5990698.4
692029.1802	5990698.397
692027.914	5990728.943
691991.5091	5990727.434
691991.4685	5990728.413
691987.7485	5990758.302
691917.4787	5990755.391
691916.1957	5990786.362
691843.4492	5990783.349
691842.1688	5990814.269
691769.4353	5990811.258
691769.4332	5990811.308
691769.4208	5990811.307
691768.143	5990842.175
691659.0729	5990837.661
691660.3521	5990806.743
691442.1854	5990797.722
691443.4631	5990766.804
691443.3434	5990766.799
691443.3435	5990766.797
691334.2549	5990762.29
691334.2548	5990762.293
691334.1826	5990762.29
691332.9056	5990793.208
691187.4231	5990787.201
691188.6992	5990756.281
691079.6105	5990751.78
691079.6104	5990751.782
691079.6091	5990751.782
691078.3339	5990782.701
691041.929	5990781.199
691033.004	5990997.621
690996.6032	5990996.12
690996.5984	5990996.236
690996.5961	5990996.236
690995.7459	5991008.901
690987.7819	5991119.424
690987.7664	5991119.423
690955.1735	5991118.079
690953.8967	5991149.051
690917.4953	5991147.55
690916.2188	5991178.521
690879.8801	5991177.023
690878.6213	5991207.57
690842.2204	5991206.07
690834.5816	5991391.47
690689.1084	5991385.479
690686.561	5991447.354
690660.249	5991446.271
690650.2981	5991445.861
690650.2953	5991445.928
690650.1592	5991445.922
690648.8843	5991476.893
690612.548	5991475.397
690611.2734	5991506.368
690574.8749	5991504.87
690573.6188	5991535.394
690537.2272	5991533.897
690535.9552	5991564.815
690499.753	5991563.326
690499.75	5991563.401
690499.6098	5991563.395
690498.3359	5991594.366
690425.6027	5991591.375
690424.3293	5991622.346
690060.6964	5991607.409
690058.9924	5991636.679
690058.8921	5991638.347
689986.6854	5991635.385
689985.855	5991655.626
689985.4319	5991665.942
689949.0427	5991664.449
689949.0347	5991664.588
689949.0285	5991664.588
689948.9315	5991666.386
689948.1665	5991679.712
689945.4408	5991726.347
689910.1055	5991724.898
689910.1041	5991724.932
689910.095	5991724.932
689908.8271	5991755.85
689799.7671	5991751.379
689799.762	5991751.615
689798.5045	5991782.298
689725.8374	5991779.32
689725.8344	5991779.391
689725.7715	5991779.389
689724.5077	5991810.236
689717.9591	5991809.967
689688.1742	5991808.747
689688.1691	5991808.871
689688.1067	5991808.868
689686.8555	5991839.415
689614.1263	5991836.437
689612.8593	5991867.381
689602.2537	5991866.946
689503.7356	5991862.914
689503.7345	5991862.94
689503.7341	5991862.94
689502.4699	5991893.832
689466.0746	5991892.343
689466.0721	5991892.423
689466.0713	5991892.423
689464.8042	5991923.394
689428.4715	5991921.907
689427.2047	5991952.878
689390.8098	5991951.389
689389.5605	5991981.936
689462.2872	5991984.911
689461.0237	5992015.794
689461.0238	5992015.794
689461.0202	5992015.882
689497.4145	5992017.371
689496.1471	5992048.343
689496.1475	5992048.343
689496.1442	5992048.424
689501.3862	5992048.639
689605.2598	5992054.509
689604.9459	5992058.407
689602.6163	5992087.095
689640.3254	5992085.297
689639.4099	5992107.651
689639.0592	5992116.215
689639.1252	5992116.218
689639.1242	5992116.241
689675.4554	5992117.729
689672.9355	5992179.247
689672.9979	5992179.249
689672.9949	5992179.323
689693.5482	5992180.165
689709.3256	5992180.811
689708.0597	5992211.709
689708.1226	5992211.712
689708.1218	5992211.732
689736.4641	5992212.893
689817.1125	5992216.199
689815.8437	5992247.149
689819.9551	5992250.285
689819.965	5992250.405
689888.349	5992255.214
689887.2908	5992281.017
689887.2999	5992281.017
689887.2964	5992281.102
689923.6802	5992282.594
689921.1569	5992344.111
689884.7736	5992342.619
689884.7731	5992342.631
689884.764	5992342.631
689880.9601	5992435.386
689844.6994	5992433.899
689844.6934	5992434.045
689844.6344	5992434.042
689843.3645	5992465.014
689843.4235	5992465.017
689843.418	5992465.151
689879.6785	5992466.638
689878.4105	5992497.556
689919.7105	5992499.25
689951.1927	5992500.542
689950.3395	5992521.339
689949.9471	5992530.904
689949.9551	5992530.904
689949.9509	5992531.007
689986.2788	5992532.497
689983.7371	5992594.439
689983.792	5992594.441
689983.7868	5992594.568
690023.777	5992596.209
690056.4367	5992597.549
690055.7291	5992614.788
690055.1675	5992628.468
690066.2285	5992628.922
690091.5576	5992629.962
690091.551	5992630.416
690090.301	5992660.859
690091.1049	5992660.892
690091.0492	5992664.699
690126.6269	5992662.378
690122.8298	5992754.839
690124.8428	5992754.922
690124.8415	5992754.987
690195.5107	5992757.89
690194.241	5992788.796
690194.2558	5992788.797
690194.2553	5992788.809
690194.6784	5992788.826
690266.8784	5992793.904
690264.3558	5992828.23
690301.7915	5992829.769
690298.2983	5992882.836
690298.1064	5992885.709
690298.1092	5992885.709
690297.7763	5992890.765
690373.694	5992893.887
690373.5264	5992858.211
690409.8364	5992859.704
690409.8404	5992859.612
690409.9143	5992859.615
690411.1844	5992828.737
690411.4507	5992828.748
690448.1312	5992835.787
690448.912	5992799.278
690504.8043	5992801.578
690521.4934	5992802.265
690521.9419	5992791.365
690522.7658	5992771.346
690559.3009	5992774.075
690559.3015	5992774.059
690559.3159	5992774.06
690560.0003	5992755.215
690560.493	5992741.928
690633.1407	5992744.919
690634.4139	5992714.001
690743.4505	5992718.492
690742.1815	5992749.292
690742.3135	5992749.298
690742.3087	5992749.416
690778.5654	5992750.91
690777.294	5992781.762
690777.4263	5992781.768
690777.4239	5992781.833
690813.6798	5992783.328
690812.406	5992814.234
690812.4082	5992814.234
690812.4077	5992814.246
690824.6464	5992814.75
690848.7314	5992815.743
690847.6423	5992846.709
690847.7425	5992846.713
690847.5545	5992852.236
690883.6501	5992848.194
690883.8431	5992848.202
690882.5661	5992879.172
690918.8915	5992880.67
690920.1688	5992849.7
690920.4497	5992849.711
690959.4688	5992856.851
690957.833	5992820.262
690957.8338	5992820.242
690992.9119	5992821.689
690992.9126	5992821.677
690994.2226	5992821.731
690998.0487	5992728.989
691036.6622	5992730.582
691038.2547	5992637.985
691038.2558	5992637.958
691074.5145	5992639.454
691074.5197	5992639.327
691074.5885	5992639.33
691077.1448	5992577.389
691149.8575	5992580.391
691148.2271	5992619.881
691147.2949	5992642.458
